merge_id,merge_label,Zip5,event_yr,delta_hhi,hhi
1,Beazer/Ellington - American Homes 4 Rent,30277,-5,10.987581141841,142.690537383605
1,Beazer/Ellington - American Homes 4 Rent,30120,-5,10.982981875581,90.5748782408119
1,Beazer/Ellington - American Homes 4 Rent,30265,-5,9.74012103951584,221.633915691059
1,Beazer/Ellington - American Homes 4 Rent,30038,-5,9.27305077574865,207.260799404721
1,Beazer/Ellington - American Homes 4 Rent,30039,-5,8.76055897336502,96.9482373222732
1,Beazer/Ellington - American Homes 4 Rent,30157,-5,7.75558360766648,155.790013618846
1,Beazer/Ellington - American Homes 4 Rent,30088,-5,6.34234416007335,152.483305911658
1,Beazer/Ellington - American Homes 4 Rent,30008,-5,5.1665308467541,80.2696327058457
1,Beazer/Ellington - American Homes 4 Rent,30058,-5,5.14539250460679,130.096464345672
1,Beazer/Ellington - American Homes 4 Rent,30044,-5,4.87804762087015,83.4716168601434
1,Beazer/Ellington - American Homes 4 Rent,30134,-5,4.77294119736445,100.336297012966
1,Beazer/Ellington - American Homes 4 Rent,30093,-5,4.75401305155497,72.3345617689473
1,Beazer/Ellington - American Homes 4 Rent,30087,-5,4.7285301960983,95.4428192562907
1,Beazer/Ellington - American Homes 4 Rent,30082,-5,4.39350889571137,73.1434136839542
1,Beazer/Ellington - American Homes 4 Rent,30331,-5,4.24367198631118,83.6678312281645
1,Beazer/Ellington - American Homes 4 Rent,30094,-5,4.20990661672609,91.3574256295584
1,Beazer/Ellington - American Homes 4 Rent,30021,-5,4.20062947668187,127.408798465535
1,Beazer/Ellington - American Homes 4 Rent,30034,-5,3.9257668086868,127.566868226429
1,Beazer/Ellington - American Homes 4 Rent,30078,-5,3.72436588791211,113.201750694386
1,Beazer/Ellington - American Homes 4 Rent,30263,-5,3.59146975585278,119.915059687787
1,Beazer/Ellington - American Homes 4 Rent,30017,-5,3.54087177708406,210.801503007837
1,Beazer/Ellington - American Homes 4 Rent,30126,-5,3.4486538033276,70.4531762112914
1,Beazer/Ellington - American Homes 4 Rent,31561,-5,3.42857142857143,168.589174800355
1,Beazer/Ellington - American Homes 4 Rent,30141,-5,3.36466919135665,159.410046788211
1,Beazer/Ellington - American Homes 4 Rent,31401,-5,3.33521124400761,94.2349241232923
1,Beazer/Ellington - American Homes 4 Rent,30276,-5,3.32493888885468,178.543103502973
1,Beazer/Ellington - American Homes 4 Rent,30047,-5,3.30475885274796,55.8607378519878
1,Beazer/Ellington - American Homes 4 Rent,30135,-5,3.22450152137845,116.286138822088
1,Beazer/Ellington - American Homes 4 Rent,30168,-5,3.18205822102634,162.742069209624
1,Beazer/Ellington - American Homes 4 Rent,30122,-5,3.09898731650047,144.257091846856
1,Beazer/Ellington - American Homes 4 Rent,30291,-5,2.97616159263465,119.174364737809
1,Beazer/Ellington - American Homes 4 Rent,30601,-5,2.95943982031973,149.829554548517
